FID,Profile_No,Horizon Sequence,State,District,Block,Village,texture,Sand,Silt,Clay,ph,ec,organic_carbon,nitrogen,phosphorus,potassium,texture_score
71,P19,AP,Maharashtra,Akola,Barshitakli,Dhakali,Gravely Clay,4.8,27.1,68.1,6.8,0.11,0.97,125.8,17.4,489.6,45
72,P19,AP,Maharashtra,Akola,Barshitakli,Dhakali,Gravely Clay,4.8,27.1,68.1,6.8,0.11,0.97,125.8,17.4,489.6,45
75,P37,Ap_BW,Maharashtra,Akola,Barshitakli,Dhakali,Gravely Clay,12.6,21.3,66.1,7.2,0.11,1.19,178.3,14.6,102.8,45
76,P17,Ap_BW,Maharashtra,Akola,Barshitakli,Dhakali,Gravely Clay,3.2,25.5,71.3,5.9,0.14,1.41,293.5,12.5,637.9,45
77,P17,Ap_BW,Maharashtra,Akola,Barshitakli,Dhakali,Gravely Clay,3.2,25.5,71.3,5.9,0.14,1.41,293.5,12.5,637.9,45
78,P19,AP,Maharashtra,Akola,Barshitakli,Dhakali,Gravely Clay,4.8,27.1,68.1,6.8,0.11,0.97,125.8,17.4,489.6,45
79,P19,AP,Maharashtra,Akola,Barshitakli,Dhakali,Gravely Clay,4.8,27.1,68.1,6.8,0.11,0.97,125.8,17.4,489.6,45
80,P6,Ap_BW_BSS1_BSS2_BSS2,Maharashtra,Akola,Barshitakli,Dhakali,Clay,7.4,23.6,69,7.8,0.17,0.95,166.6,17.8,640.0,65
81,P6,Ap_BW_BSS1_BSS2_BSS2,Maharashtra,Akola,Barshitakli,Dhakali,Clay,7.4,23.6,69,7.8,0.17,0.95,166.6,17.8,640.0,65
82,P22,Ap_BW,Maharashtra,Akola,Barshitakli,Dhakali,Gravely Clay,22.8,24.6,52.6,6.8,0.88,1.24,210.6,21.9,640.0,45
83,P12,Ap_Bw,Maharashtra,Akola,Barshitakli,Dhakali,Clay,13.2,30.7,56.1,7.8,0.21,0.67,121.9,24.6,500.9,65
86,P17,Ap_BW,Maharashtra,Akola,Barshitakli,Sawarkhed,Gravely Clay,3.2,25.5,71.3,5.9,0.14,1.41,293.5,12.5,637.9,45
87,P19,AP,Maharashtra,Akola,Barshitakli,Sawarkhed,Gravely Clay,4.8,27.1,68.1,6.8,0.11,0.97,125.8,17.4,489.6,45
88,P25,Ap_BW_BW2_BSS1_BSS2,Maharashtra,Akola,Barshitakli,Sawarkhed,Clay,19,22.5,58.5,7.9,0.75,0.86,142.8,21.5,131.4,65
89,P29,Ap_BC,Maharashtra,Akola,Barshitakli,Sawarkhed,Gravely Clay,17,29.4,53.6,6.7,0.66,1.02,167.7,16.4,356.7,45
90,P17,Ap_BW,Maharashtra,Akola,Barshitakli,Sawarkhed,Gravely Clay,3.2,25.5,71.3,5.9,0.14,1.41,293.5,12.5,637.9,45
91,P17,Ap_BW,Maharashtra,Akola,Barshitakli,Sawarkhed,Gravely Clay,3.2,25.5,71.3,5.9,0.14,1.41,293.5,12.5,637.9,45
92,P17,Ap_BW,Maharashtra,Akola,Barshitakli,Sawarkhed,Gravely Clay,3.2,25.5,71.3,5.9,0.14,1.41,293.5,12.5,637.9,45
93,P19,AP,Maharashtra,Akola,Barshitakli,Sawarkhed,Gravely Clay,4.8,27.1,68.1,6.8,0.11,0.97,125.8,17.4,489.6,45
